"Date","Price","Open","High","Low","Vol.","Change %"
"Oct 19, 2018","3,134.95","3,017.75","3,137.75","3,009.50","98.84K","2.97%"
"Oct 18, 2018","3,044.39","3,097.79","3,097.79","3,043.38","73.77K","-2.37%"
"Oct 17, 2018","3,118.25","3,140.68","3,149.13","3,062.55","76.84K","0.56%"
"Oct 16, 2018","3,100.97","3,128.58","3,166.09","3,089.37","68.89K","-0.81%"
"Oct 15, 2018","3,126.45","3,173.85","3,183.13","3,120.23","69.61K","-1.40%"
"Oct 12, 2018","3,170.73","3,123.37","3,184.12","3,094.97","98.61K","1.49%"
"Oct 11, 2018","3,124.11","3,179.54","3,209.52","3,099.04","120.94K","-4.80%"
"Oct 10, 2018","3,281.60","3,295.43","3,315.73","3,256.58","64.49K","-0.22%"
"Oct 09, 2018","3,288.69","3,290.17","3,309.80","3,276.13","66.72K","-0.07%"
"Oct 08, 2018","3,290.90","3,361.56","3,364.46","3,285.25","97.89K","-4.30%"
"Sep 28, 2018","3,438.86","3,409.96","3,444.99","3,404.70","84.38K","1.04%"
"Sep 27, 2018","3,403.59","3,415.95","3,423.71","3,394.73","69.77K","-0.40%"
"Sep 26, 2018","3,417.24","3,388.56","3,448.26","3,383.24","93.17K","1.11%"
"Sep 25, 2018","3,379.80","3,375.97","3,394.38","3,367.03","69.06K","-0.90%"
"Sep 21, 2018","3,410.49","3,320.70","3,410.49","3,307.77","108.42K","3.03%"
"Sep 20, 2018","3,310.13","3,314.88","3,332.31","3,303.07","64.56K","-0.07%"
"Sep 19, 2018","3,312.48","3,262.00","3,335.99","3,258.31","89.17K","1.32%"
"Sep 18, 2018","3,269.43","3,193.64","3,270.11","3,193.64","70.43K","2.01%"
"Sep 17, 2018","3,204.92","3,224.93","3,230.79","3,200.51","52.26K","-1.15%"
"Sep 14, 2018","3,242.09","3,242.83","3,254.10","3,227.94","60.13K","0.17%"
"Sep 13, 2018","3,236.57","3,239.69","3,249.59","3,191.40","67.29K","1.08%"
"Sep 12, 2018","3,202.02","3,216.99","3,225.60","3,194.98","54.63K","-0.69%"
"Sep 11, 2018","3,224.21","3,229.71","3,245.62","3,209.11","58.49K","-0.18%"
