"Date","Price","Open","High","Low","Vol.","Change %"
"Sep 08, 2017","19,274.82","19,297.96","19,357.49","19,239.52","1.10B","-0.63%"
"Sep 07, 2017","19,396.52","19,433.44","19,482.72","19,365.75","843.69M","0.20%"
"Sep 06, 2017","19,357.97","19,286.06","19,371.38","19,254.67","911.72M","-0.14%"
"Sep 05, 2017","19,385.81","19,533.38","19,542.78","19,354.59","800.23M","-0.63%"
"Sep 04, 2017","19,508.25","19,615.96","19,628.40","19,479.40","738.55M","-0.93%"
"Sep 01, 2017","19,691.47","19,733.57","19,735.96","19,620.07","819.09M","0.23%"
"Aug 31, 2017","19,646.24","19,591.32","19,687.99","19,583.11","1.01B","0.72%"
"Aug 30, 2017","19,506.54","19,480.98","19,538.23","19,435.10","945.91M","0.74%"
"Aug 29, 2017","19,362.55","19,319.11","19,371.90","19,280.02","772.63M","-0.45%"
"Aug 28, 2017","19,449.90","19,502.23","19,535.50","19,420.50","715.93M","-0.01%"
"Aug 25, 2017","19,452.61","19,401.12","19,485.97","19,384.37","728.55M","0.51%"
"Aug 24, 2017","19,353.77","19,366.36","19,428.55","19,351.92","777.39M","-0.42%"
"Aug 23, 2017","19,434.64","19,547.05","19,561.32","19,408.47","809.46M","0.26%"
"Aug 22, 2017","19,383.84","19,373.11","19,437.25","19,361.95","726.90M","-0.05%"
"Aug 21, 2017","19,393.13","19,509.53","19,509.53","19,365.65","776.36M","-0.40%"
"Aug 18, 2017","19,470.41","19,471.27","19,543.13","19,433.09","986.82M","-1.18%"
"Aug 17, 2017","19,702.63","19,707.75","19,739.04","19,679.37","741.01M","-0.14%"
"Aug 16, 2017","19,729.28","19,750.55","19,776.86","19,719.08","715.40M","-0.12%"
"Aug 15, 2017","19,753.31","19,689.38","19,824.12","19,656.91","930.70M","1.11%"
"Aug 14, 2017","19,537.10","19,545.58","19,598.41","19,486.48","1.12B","-0.98%"
"Aug 10, 2017","19,729.74","19,792.45","19,829.88","19,685.83","1.07B","-0.05%"
"Aug 09, 2017","19,738.71","19,928.96","19,945.28","19,660.22","1.08B","-1.29%"
"Aug 08, 2017","19,996.01","20,062.65","20,076.80","19,970.57","829.08M","-0.30%"
"Aug 07, 2017","20,055.89","20,059.29","20,085.90","20,037.40","776.31M","0.52%"
